азбука - Средство начального обучения {Средство} 	 type:NAN
недоумение - Состояние лёгкого удивления {Состояние} 	 type:NAN
неистовость - Качество человека склонного {Качество} 	 type:NNA 
нелюдимость - Качество необщительного человека {Качество} 	 type:NAN
ненужный - нужды необходимости действительной потребности {нужды} 	 type:NNAN 
необщительность - Свойство неразговорчивого человека {Свойство} 	 type:NAN
необычность - особенными специфическими качествами {качествами} 	 type:AAN 
непривычность - знакомо малоизвестно необычность {необычность} 	 type:AAN 
неуважение - Отсутствие должного уважения {Отсутствие} 	 type:NAN
неуравновешенность - Склонность к возбудимости {Склонность} 	 type:NPN
образ - художественное отражение действительности {отражение} 	 type:ANN 
объединение - Создание единого целого {Создание} 	 type:NAN
объявление - письменный печатный текст {текст} 	 type:AAN 
оговорка - ошибка в речи {ошибка} 	 type:NPN
огонь - газы красно цвета {газы} 	 type:NAN
одиночество - состояние отсутствия душевной связи {состояние} 	 type:NNAN 
оживление - Переход из состояния {Переход} 	 type:NPN
оклад - Предмет религиозного обихода {Предмет} 	 type:NAN
осквернение - жестокое оскорбительное издевательство {издевательство} 	 type:AAN 
осьминог - животное из класса {животное} 	 type:NPN
официант - Работник предприятия общественного питания {Работник} 	 type:NNAN 
палец - подвижных конечных частей {частей} 	 type:AAN 
палец - конечных частей руки {частей} 	 type:ANN 
памятник - Произведение изобразительного искусства {Произведение} 	 type:NAN
паротит - заболевание желез внутренней секреции {заболевание} 	 type:NNAN 
паротит - детское острозаразное заболевание {заболевание} 	 type:AAN 
паротит - острозаразное заболевание желез {заболевание} 	 type:ANN 
патриотизм - Чувство глубокой привязанности {Чувство} 	 type:NAN
пачка - Совокупность однородных предметов {Совокупность} 	 type:NAN
пение - Исполнение вокального произведения {Исполнение} 	 type:NAN
перегородка - тонкая внутренняя стенка {стенка} 	 type:AAN 
писатель - Создатель литературных произведений {Создатель} 	 type:NAN
повар - Работник предприятия общественного питания {Работник} 	 type:NNAN 
поговорка - меткое образное выражение {выражение} 	 type:AAN 
подавленность - Состояние крайней огорчённости {Состояние} 	 type:NAN
подсвечник - Приспособление для свечи {Приспособление} 	 type:NPN
подчинение - Зависимость от кого-либо {Зависимость} 	 type:NPN
показание - письменное сообщение сведений {сообщение} 	 type:ANN 
половник - ложка для разливания {ложка} 	 type:NPN
помидор - растение семейства паслёновых {растение} 	 type:NNA 
помидор - овощное огородное растение {растение} 	 type:AAN 
помидор - огородное растение семейства {растение} 	 type:ANN 
попугай - Птица тропических стран {Птица} 	 type:NAN
портсигар - вместилище из металла {вместилище} 	 type:NPN
порча - способность при помощи {способность} 	 type:NPN
поступок - целенаправленное проявление деятельности {проявление} 	 type:ANN 
потворство - мягкое снисходительное отношение {отношение} 	 type:AAN 
потомки - Люди последующих поколений {Люди} 	 type:NAN
почва - слой земной коры {слой} 	 type:NAN
поэт - Автор поэтических произведений {Автор} 	 type:NAN
правительство - Группа должностных лиц {Группа} 	 type:NAN
преследование - нападки на кого-либо {нападки} 	 type:NPN
пресмыкающееся - Животное класса позвоночных {Животное} 	 type:NNA 
признание - откровенное изложение чего-либо {изложение} 	 type:ANN 
приказ - документ установленной формы {документ} 	 type:NAN
принуждение - воздействие на кого-либо {воздействие} 	 type:NPN
приток - подъём уровня открытого моря {подъём} 	 type:NNAN 
прищепка - Приспособление для прикрепления {Приспособление} 	 type:NPN
пробка - Приспособление для закрывания {Приспособление} 	 type:NPN
произведение - Результат творческих усилий {Результат} 	 type:NAN
пропасть - глубокое узкое углубление {углубление} 	 type:AAN 
проповедь - Распространение христианской религии {Распространение} 	 type:NAN
простор - открытое свободное пространство {пространство} 	 type:AAN 
профессия - занятий трудовой деятельности {занятий} 	 type:NAN
пряник - изделие из теста {изделие} 	 type:NPN
пряник - мягкое печёное изделие {изделие} 	 type:AAN 
психоз - Заболевание головного мозга {Заболевание} 	 type:NAN
пузырёк - сосуд из стекла {сосуд} 	 type:NPN
пустословие - бесполезные речи разговоры {речи} 	 type:ANN 
пустяк - маловажное несущественное обстоятельство {обстоятельство} 	 type:AAN 
пыл - возбуждение душевного воодушевления {возбуждение} 	 type:NAN
пыл - внутреннее психическое возбуждение {возбуждение} 	 type:AAN 
радость - Чувство большого удовольствия {Чувство} 	 type:NAN
развитие - Процесс закономерного изменения {Процесс} 	 type:NAN
размазня - нерешительный слабохарактерный человек {человек} 	 type:AAN 
раскол - движение в России {движение} 	 type:NPN
расположение - благоприятное благожелательное отношение {отношение} 	 type:AAN 
расшифровка - Раскрытие системы условных знаков {Раскрытие} 	 type:NNAN 
река - непрерывный водный поток {поток} 	 type:AAN 
репейник - растение семейства сложноцветных {растение} 	 type:NNA 
рисунок - Произведение изобразительного искусства {Произведение} 	 type:NAN
рубашка - белье произвольной длины {белье} 	 type:NAN
ругань - Использование в речи {Использование} 	 type:NPN
рукопись - Памятник древней письменности {Памятник} 	 type:NAN
румянец - алый цвет щёк {цвет} 	 type:ANN 
ряд - Совокупность однородных предметов {Совокупность} 	 type:NAN
светолечение - Применение световых лучей {Применение} 	 type:NAN
свирепость - Склонность к жестокости {Склонность} 	 type:NPN
свобода - Пребывание вне заключения {Пребывание} 	 type:NPN
семья - Группа близких родственников {Группа} 	 type:NAN
сила - Способность живых существ {Способность} 	 type:NAN
силок - Приспособление для ловли {Приспособление} 	 type:NPN
скала - Участок земной поверхности {Участок} 	 type:NAN
скульптура - Искусство создания объёмных {Искусство} 	 type:NNA 
слабоумие - Заболевание нервной системы {Заболевание} 	 type:NAN
собака - животное семейства псовых {животное} 	 type:NNA 
согласованность - строение частей способных {строение} 	 type:NNA 
солдат - Военнослужащий сухопутных войск {Военнослужащий} 	 type:NAN
соус - приправа к кушанью {приправа} 	 type:NPN
спокойствие - Состояние душевного равновесия {Состояние} 	 type:NAN
справедливость - Соответствие человеческих отношений {Соответствие} 	 type:NAN
ссора - Состояние взаимной вражды {Состояние} 	 type:NAN
ссора - Состояние взаимной неприязни {Состояние} 	 type:NAN
ссора - Столкновение противоположных сторон {Столкновение} 	 type:NAN
стадо - Группа домашних парнокопытных {Группа} 	 type:NAN
статуэтка - Произведение изобразительного искусства {Произведение} 	 type:NAN
стиль - Совокупность языковых приёмов {Совокупность} 	 type:NAN
стоянка - Место временного расположения {Место} 	 type:NAN
страсть - чувство сердечной склонности {чувство} 	 type:NAN
страх - Чувство сильной тревоги {Чувство} 	 type:NAN
судорога - болезненное сокращение мышц {сокращение} 	 type:ANN 
сырник - Кушанье из творога {Кушанье} 	 type:NPN
такси - Автомобиль для перевозки {Автомобиль} 	 type:NPN
тапки - туфли без каблуков {туфли} 	 type:NPN
теолог - Специалист в области {Специалист} 	 type:NPN
тепло - тёплая жаркая погода {погода} 	 type:AAN 
толпа - Скопление людей стоящих {Скопление} 	 type:NNA 
траулер - промысловое рыболовецкое судно {судно} 	 type:AAN 
троица - основных православных праздников {праздников} 	 type:AAN 
троица - основных христианских догматов {догматов} 	 type:AAN 
уверенность - вера в кого {вера} 	 type:NPN
укол - Введение лекарственных препаратов {Введение} 	 type:NAN
уловка - изобретательный мудрёный приём {приём} 	 type:AAN 
уныние - состояние духа гнетущей безнадежности {состояние} 	 type:NNAN 
ферзь - сильная шахматная фигура {фигура} 	 type:AAN 
ферма - животноводческое сельскохозяйственное предприятие {предприятие} 	 type:AAN 
филолог - Специалист по филологии {Специалист} 	 type:NPN
философ - Специалист по философии {Специалист} 	 type:NPN
фляга - ёмкость из пластмассы {ёмкость} 	 type:NPN
форма - внешние очертания предмета {очертания} 	 type:ANN 
церковь - Сооружение культового назначения {Сооружение} 	 type:NAN
человеколюбие - Чувство безграничной любви {Чувство} 	 type:NAN
чибис - птица семейства ржанковых {птица} 	 type:NNA 
чувство - душевное психическое состояние {состояние} 	 type:AAN 
чувство - психическое состояние человека {состояние} 	 type:ANN 
чуткость - заботливое сочувственное отношение {отношение} 	 type:AAN 
шашка - Фигура для игры {Фигура} 	 type:NPN
шкатулка - вместилище из дерева {вместилище} 	 type:NPN
шпилька - Приспособление для закалывания {Приспособление} 	 type:NPN
штопор - Приспособление для откупоривания {Приспособление} 	 type:NPN
щеколда - Приспособление для запирания {Приспособление} 	 type:NPN
экспорт - Деятельность по продаже {Деятельность} 	 type:NPN
эскиз - Произведение изобразительного искусства {Произведение} 	 type:NAN
юрок - птица отряда воробьиных {птица} 	 type:NNA 
юрок - таёжная птица отряда {птица} 	 type:ANN 
юрта - сооружение конусообразной формы {сооружение} 	 type:NAN
