абаз - мелкая серебряная монета {монета} 	 type:AAN 
азотемия - содержание в крови {содержание} 	 type:NPN
азурит - Минерал синего цвета {Минерал} 	 type:NAN
азям - верхняя одежда крестьян {одежда} 	 type:ANN 
аист - птица отряда голенастых {птица} 	 type:NNA 
аист - перелетная птица отряда {птица} 	 type:ANN 
аистник - растение семейства гераниевых {растение} 	 type:NNA 
академгородок - Комплекс научных институтов {Комплекс} 	 type:NAN
акация - растение семейства мимозовых {растение} 	 type:NNA 
акация - субтропическое растение семейства {растение} 	 type:ANN 
аквариум - сосуд для содержания {сосуд} 	 type:NPN
акватория - Участок водной поверхности {Участок} 	 type:NAN
аквилегия - растение семейства лютиковых {растение} 	 type:NNA 
акинезия - Отсутствие активных движений {Отсутствие} 	 type:NAN
акклиматизатор - Птичник для выращивания {Птичник} 	 type:NPN
аккредитация - Процедура назначения дипломатического представителя {Процедура} 	 type:NNAN 
аконит - растение семейства лютиковых {растение} 	 type:NNA 
аконит - травянистое растение семейства {растение} 	 type:ANN 
акробатика - Жанр циркового искусства {Жанр} 	 type:NAN
аксамит - плотный узорчатый бархат {бархат} 	 type:AAN 
акселерометр - Прибор для измерения {Прибор} 	 type:NPN
аксиома - положение какой научной теории {положение} 	 type:NNAN 
аксон - Отросток нервной клетки {Отросток} 	 type:NAN
актив - деятельная группа лиц {группа} 	 type:ANN 
актинометр - Прибор для измерения {Прибор} 	 type:NPN
акустик - Специалист в области {Специалист} 	 type:NPN
акустика - Область изучения звуковых явлений {Область} 	 type:NNAN 
акушер - Специалист в области {Специалист} 	 type:NPN
акцентуация - Выделение определенных элементов {Выделение} 	 type:NAN
албанцы - Народ особой группы {Народ} 	 type:NAN
алгебраист - Специалист в области {Специалист} 	 type:NPN
аллерголог - Специалист в области {Специалист} 	 type:NPN
аллилуйщина - незаслуженное восхваление кого {восхваление} 	 type:ANN 
аллилуйя - припев церковных песнопений {припев} 	 type:NAN
аллювий - Отложения водных потоков {Отложения} 	 type:NAN
алоэ - растение семейства лилейных {растение} 	 type:NNA 
алоэ - субтропическое травянистое растение {растение} 	 type:AAN 
алоэ - травянистое растение семейства {растение} 	 type:ANN 
алтей - растение семейства мальвовых {растение} 	 type:NNA 
алтей - травянистое растение семейства {растение} 	 type:ANN 
альбатрос - океаническая птица отряда {птица} 	 type:ANN 
альбатросы - Семейство океанических птиц {Семейство} 	 type:NAN
альвеола - Углубление в челюсти {Углубление} 	 type:NPN
алькальд - Глава муниципальной администрации {Глава} 	 type:NAN
альманах - Сборник произведений художественной литературы {Сборник} 	 type:NNAN 
альпака - ткань из шерсти {ткань} 	 type:NPN
альтиметр - Прибор для измерения {Прибор} 	 type:NPN
альфа - буквы греческого алфавита {буквы} 	 type:NAN
альфреско - Техника настенной живописи {Техника} 	 type:NAN
алюминщик - Работник алюминиевой промышленности {Работник} 	 type:NAN
амазонка - платье особого покроя {платье} 	 type:NAN
амбар - строение для хранения {строение} 	 type:NPN
амбистомы - Семейство хвостатых земноводных {Семейство} 	 type:NAN
амбра - пищеварительных органах кашалота {органах} 	 type:ANN 
амброзия - растение семейства сложноцветных {растение} 	 type:NNA 
амброзия - травянистое растение семейства {растение} 	 type:ANN 
американист - Специалист в области {Специалист} 	 type:NPN
американистика - Совокупность научных дисциплин {Совокупность} 	 type:NAN
амнистия - высшим органом власти {органом} 	 type:ANN 
амортизатор - Устройство в конструкции {Устройство} 	 type:NPN
амортизация - снижение ценности основных фондов {снижение} 	 type:NNAN 
ампер - Единица силы электрического тока {Единица} 	 type:NNAN 
амперметр - Прибор для измерения {Прибор} 	 type:NPN
анаконда - крупная змея семейства {змея} 	 type:ANN 
анализ - Метод научного исследования {Метод} 	 type:NAN
ананас - травянистое растение семейства {растение} 	 type:ANN 
анархизм - Отказ от соблюдения {Отказ} 	 type:NPN
анархия - Отрицание государственной власти {Отрицание} 	 type:NAN
анатом - Специалист в области {Специалист} 	 type:NPN
анафема - Отлучение от церкви {Отлучение} 	 type:NPN
англичанка - Преподавательница английского языка {Преподавательница} 	 type:NAN
андезит - порода вулканического происхождения {порода} 	 type:NAN
аневризма - расширение кровеносного сосуда {расширение} 	 type:NAN
анекдот - рассказ о каком {рассказ} 	 type:NPN
анемограф - Прибор для измерения {Прибор} 	 type:NPN
анемометр - Прибор для измерения {Прибор} 	 type:NPN
анемон - растение семейства лютиковых {растение} 	 type:NNA 
анестезиолог - Специалист в области {Специалист} 	 type:NPN
анимализм - Жанр изобразительного искусства {Жанр} 	 type:NAN
анис - растение семейства зонтичных {растение} 	 type:NNA 
анис - травянистое однолетнее растение {растение} 	 type:AAN 
анис - однолетнее растение семейства {растение} 	 type:ANN 
анкета - лист для получения {лист} 	 type:NPN
аномалия - Отклонение от нормы {Отклонение} 	 type:NPN
анортит - Минерал группы полевых шпатов {Минерал} 	 type:NNAN 
антабка - Скобка для ремня {Скобка} 	 type:NPN
антагонисты - Микроорганизмы различных видов {Микроорганизмы} 	 type:NAN
антенна - устройство для излучения {устройство} 	 type:NPN
антибиотики - Вещества микробного происхождения {Вещества} 	 type:NAN
антик - Произведение античного искусства {Произведение} 	 type:NAN
антиквариат - ценные предметы (картины {предметы} 	 type:ANN 
антиклиналь - Складка пластов горных пород {Складка} 	 type:NNAN 
антимонит - Минерал свинцово цвета {Минерал} 	 type:NAN
антироман - французской модернистской прозы {прозы} 	 type:AAN 
антироман - модернистской прозы 40-70-х {прозы} 	 type:ANN 
антистрофа - строфа стихотворного произведения {строфа} 	 type:NAN
антифоны - Приспособления для защиты {Приспособления} 	 type:NPN
антрацит - уголь высшего сорта {уголь} 	 type:NAN
антрополог - Специалист в области {Специалист} 	 type:NPN
анты - Выступы продольных стен {Выступы} 	 type:NAN
анфилада - Стрельба вдоль линии {Стрельба} 	 type:NPN
анчоус - рыба отряда сельдеобразных {рыба} 	 type:NNA 
аншлюс - Политика насильственного присоединения {Политика} 	 type:NAN
анэнцефалия - отсутствие головного мозга {отсутствие} 	 type:NAN
аорта - артерия кровеносной системы {артерия} 	 type:NAN
апатия - Состояние глубокого безразличия {Состояние} 	 type:NAN
апельсин - дерево семейства рутовых {дерево} 	 type:NNA 
апельсин - вечнозеленое цитрусовое дерево {дерево} 	 type:AAN 
апельсин - цитрусовое дерево семейства {дерево} 	 type:ANN 
апокалипсис - книг Нового Завета {книг} 	 type:NAN
аполог - повествование из жизни {повествование} 	 type:NPN
аполог - иносказательное нравоучительное повествование {повествование} 	 type:AAN 
апофегма - остроумное нравоучительное изречение {изречение} 	 type:AAN 
апоцентр - Точка орбиты небесного тела {Точка} 	 type:NNAN 
аппаратная - Комната для аппаратов {Комната} 	 type:NPN
аппендикс - отросток слепой кишки {отросток} 	 type:NAN
аппрет - Состав из крахмала {Состав} 	 type:NPN
аппретура - Обработка текстильных материалов {Обработка} 	 type:NAN
апрель - месяца календарного года {месяца} 	 type:NAN
апсида - многогранный выступ здания {выступ} 	 type:ANN 
ар - Единица земельной площади {Единица} 	 type:NAN
арабески - тонкий лепной орнамент {орнамент} 	 type:AAN 
арабист - Специалист в области {Специалист} 	 type:NPN
арабистика - Совокупность научных дисциплин {Совокупность} 	 type:NAN
аракчеевщина - Политика крайней реакции {Политика} 	 type:NAN
аралиевые - Семейство двудольных растений {Семейство} 	 type:NAN
аранжировка - Переложение музыкального произведения {Переложение} 	 type:NAN
арат - Крестьянин (у монголов {Крестьянин} 	 type:NPN
арахис - растение семейства бобовых {растение} 	 type:NNA 
арахис - травянистое растение семейства {растение} 	 type:ANN 
арбалет - ручное метательное оружие {оружие} 	 type:AAN 
арбитраж - Разрешение спорных вопросов {Разрешение} 	 type:NAN
арбуз - растение семейства тыквенных {растение} 	 type:NNA 
аргамак - породистая верховая лошадь {лошадь} 	 type:AAN 
аргентина - Рыба отряда лососеобразных {Рыба} 	 type:NNA 
аргонавты - Семейство головоногих моллюсков {Семейство} 	 type:NAN
аргус - Птица семейства фазановых {Птица} 	 type:NNA 
ареометр - Прибор для определения {Прибор} 	 type:NPN
арийцы - Представители с точки {Представители} 	 type:NPN
аритмия - Нарушение нормального ритма {Нарушение} 	 type:NAN
арлекин - персонаж итальянской \"комедии {персонаж} 	 type:NAN
арматура - композиция из предметов {композиция} 	 type:NPN
армия - Совокупность вооруженных сил {Совокупность} 	 type:NAN
арника - растение семейства сложноцветных {растение} 	 type:NNA 
арника - травянистое растение семейства {растение} 	 type:ANN 
ароматизация - Придание приятного запаха {Придание} 	 type:NAN
артикуляция - Способ исполнения последовательного ряда {Способ} 	 type:NNAN 
артиллерист - Военнослужащий артиллерийских войск {Военнослужащий} 	 type:NAN
артиллерия - орудия различных калибров {орудия} 	 type:NAN
артистическая - Помещение для артистов {Помещение} 	 type:NPN
артишок - растение семейства сложноцветных {растение} 	 type:NNA 
археограф - Специалист в области {Специалист} 	 type:NPN
археолог - Специалист в области {Специалист} 	 type:NPN
археоциаты - животные кембрийского периода {животные} 	 type:NAN
архетип - текст письменного памятника {текст} 	 type:NAN
архивист - Специалист в области {Специалист} 	 type:NPN
архивольт - Обрамление арочного проема {Обрамление} 	 type:NAN
архимандрит - звание у монахов {звание} 	 type:NPN
архипастырь - чинов духовенства православной церкви {чинов} 	 type:NNAN 
архипастырь - высших чинов духовенства {чинов} 	 type:ANN 
архитектор - Специалист в области {Специалист} 	 type:NPN
архонт - лицо в городах {лицо} 	 type:NPN
ас - Летчик высшего класса {Летчик} 	 type:NAN
асессорша - Жена коллежского асессора {Жена} 	 type:NAN
асмодей - Глава демонов злой {Глава} 	 type:NNA 
аспарагус - растение семейства лилейных {растение} 	 type:NNA 
аспиды - Семейство ядовитых змей {Семейство} 	 type:NAN
аспиратор - прибор для отсасывания {прибор} 	 type:NPN
ассириолог - Специалист в области {Специалист} 	 type:NPN
ассистент - Помощник высококлассного специалиста {Помощник} 	 type:NAN
ассонанс - Повторение однородных гласных {Повторение} 	 type:NAN
ассортимент - Набор различных видов {Набор} 	 type:NAN
астат - элемент из группы {элемент} 	 type:NPN
астеносфера - слой пониженной вязкости {слой} 	 type:NAN
астигматизм - Недостаток оптической системы {Недостаток} 	 type:NAN
астра - растение семейства сложноцветных {растение} 	 type:NNA 
астра - декоративное растение семейства {растение} 	 type:ANN 
астрагал - растение семейства бобовых {растение} 	 type:NNA 
астрограф - Прибор для фотографирования {Прибор} 	 type:NPN
астродатчик - Прибор летательного аппарата {Прибор} 	 type:NAN
астродинамика - Раздел научной дисциплины {Раздел} 	 type:NAN
астрокомпас - Прибор для определения {Прибор} 	 type:NPN
астронавигация - Совокупность методов практической астрономии {Совокупность} 	 type:NNAN 
астронавт - Специалист в области {Специалист} 	 type:NPN
астроном - Специалист в области {Специалист} 	 type:NPN
астроориентация - Ориентация космического аппарата {Ориентация} 	 type:NAN
астрофизик - Специалист в области {Специалист} 	 type:NPN
астрофотометр - прибор для измерения {прибор} 	 type:NPN
асфалия - полиция в Греции {полиция} 	 type:NPN
асфальт - порода черного цвета {порода} 	 type:NAN
асфальтобетон - материал из смеси {материал} 	 type:NPN
асфальтоукладчик - Машина для укладки {Машина} 	 type:NPN
атлет - Человек крепкого телосложения {Человек} 	 type:NAN
атлетизм - Система физических упражнений {Система} 	 type:NAN
атом - частица химического элемента {частица} 	 type:NAN
атомщик - Специалист в области {Специалист} 	 type:NPN
атрибут - существенное неотъемлемое свойство {свойство} 	 type:AAN 
атрибут - неотъемлемое свойство объекта {свойство} 	 type:ANN 
атташе - Сотрудник дипломатического представительства {Сотрудник} 	 type:NAN
аудиенция - прием у лица {прием} 	 type:NPN
аукцион - Способ публичной продажи {Способ} 	 type:NAN
аутсайдер - среднее предприятие какой {предприятие} 	 type:ANN 
африканист - Специалист в области {Специалист} 	 type:NPN
аффинаж - процесс получения благородных металлов {процесс} 	 type:NNAN 
аэробика - Комплекс физических упражнений {Комплекс} 	 type:NAN
аэробус - самолет большой вместимости {самолет} 	 type:NAN
аэрограф - Прибор для распыления {Прибор} 	 type:NPN
аэролог - Специалист в области {Специалист} 	 type:NPN
аэронавтика - Совокупность научных дисциплин {Совокупность} 	 type:NAN
баба - Фигура из снега {Фигура} 	 type:NPN
бабашка - Брусочек из металла {Брусочек} 	 type:NPN
бабуши - туфли без задников {туфли} 	 type:NPN
багажная - Помещение для хранения {Помещение} 	 type:NPN
багги - высокоманевренный спортивный автомобиль {автомобиль} 	 type:AAN 
багет - планка для рам {планка} 	 type:NPN
багорчик - Орудие для вытаскивания {Орудие} 	 type:NPN
багрец - ткань багрового цвета {ткань} 	 type:NAN
багульник - кустарник семейства вересковых {кустарник} 	 type:NNA 
бадан - Растение семейства камнеломковых {Растение} 	 type:NNA 
бадья - металлическое широкое ведро {ведро} 	 type:AAN 
бадьян - растение семейства рутовых {растение} 	 type:NNA 
баз - двор крестьянской усадьбы {двор} 	 type:NAN
базилик - растение семейства губоцветных {растение} 	 type:NNA 
базилик - кустарниковое растение семейства {растение} 	 type:ANN 
байга - игра у народов {игра} 	 type:NPN
байдарка - узкая спортивная лодка {лодка} 	 type:AAN 
байрам - трехдневных мусульманских праздников {праздников} 	 type:AAN 
бак - сосуд для жидкости {сосуд} 	 type:NPN
бакалейщик - Владелец бакалейной лавки {Владелец} 	 type:NAN
бакаут - дерево семейства парнолистниковых {дерево} 	 type:NNA 
бакаут - тропическое дерево семейства {дерево} 	 type:ANN 
бакенбарды - Волосы от висков {Волосы} 	 type:NPN
баккара - Хрусталь высшего качества {Хрусталь} 	 type:NAN
баклага - узкогорлый деревянный сосуд {сосуд} 	 type:AAN 
баклажан - Растение семейства пасленовых {Растение} 	 type:NNA 
баклан - птица отряда веслоногих {птица} 	 type:NNA 
баклан - водоплавающая птица отряда {птица} 	 type:ANN 
бактериолог - Специалист в области {Специалист} 	 type:NPN
бактерионосительство - Наличие болезнетворных бактерий {Наличие} 	 type:NAN
бакун - Табак низшего сорта {Табак} 	 type:NAN
бакштаг - Курс парусного судна {Курс} 	 type:NAN
балалайка - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
баланс - Бревна определенных размеров {Бревна} 	 type:NAN
баланс - Деталь часового механизма {Деталь} 	 type:NAN
балансир - шест при помощи {шест} 	 type:NPN
балахон - одежда свободного покроя {одежда} 	 type:NAN
балахон - крестьянская верхняя одежда {одежда} 	 type:AAN 
балбера - Поплавок рыболовной сети {Поплавок} 	 type:NAN
балетовед - Специалист в области {Специалист} 	 type:NPN
балканистика - Совокупность научных дисциплин {Совокупность} 	 type:NAN
баллада - Жанр лирической поэзии {Жанр} 	 type:NAN
балластер - Машина для подъема {Машина} 	 type:NPN
баллиста - Машина для метания {Машина} 	 type:NPN
баллистик - Специалист в области {Специалист} 	 type:NPN
баллистика - Раздел теоретической механики {Раздел} 	 type:NAN
балобан - хищная птица семейства {птица} 	 type:ANN 
балык - мясо хребтовой части {мясо} 	 type:NAN
бальзамин - растение семейства бальзаминовых {растение} 	 type:NNA 
бальзамин - комнатное растение семейства {растение} 	 type:ANN 
бальнеолог - Специалист в области {Специалист} 	 type:NPN
банан - субтропическое травянистое растение {растение} 	 type:AAN 
банановоз - судно для перевозки {судно} 	 type:NPN
бананы - Брюки свободного покроя {Брюки} 	 type:NAN
банда - вооруженное формирование людей {формирование} 	 type:ANN 
банджо - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
бандура - щипковый музыкальный инструмент {инструмент} 	 type:AAN 
бани - помещения для мытья {помещения} 	 type:NPN
банка - Сидение для гребцов {Сидение} 	 type:NPN
банка - сосуд цилиндрической формы {сосуд} 	 type:NAN
банкаброш - Машина прядильного производства {Машина} 	 type:NAN
банкет - вал из грунта {вал} 	 type:NPN
банки - грушевидные стеклянные сосуды {сосуды} 	 type:AAN 
банкомат - устройство для получения {устройство} 	 type:NPN
банкротство - Неплатежеспособность частного лица {Неплатежеспособность} 	 type:NAN
банлон - полиамидного синтетического волокна {волокна} 	 type:AAN 
баобаб - тропическое дерево семейства {дерево} 	 type:ANN 
бар - Единица атмосферного давления {Единица} 	 type:NAN
барабулька - промысловая рыба отряда {рыба} 	 type:ANN 
баранчик - растение семейства первоцветных {растение} 	 type:NNA 
барашки - мех молодого барана {мех} 	 type:NAN
барвинок - растение семейства кутровых {растение} 	 type:NNA 
барвинок - травянистое растение семейства {растение} 	 type:ANN 
бареж - легкая прозрачная ткань {ткань} 	 type:AAN 
бареттер - Прибор для поддержания {Прибор} 	 type:NPN
барисфера - центральное ядро Земли {ядро} 	 type:ANN 
баркан - тяжелая шерстяная ткань {ткань} 	 type:AAN 
баркарола - Песня венецианских гондольеров {Песня} 	 type:NAN
баркас - многовесельная корабельная шлюпка {шлюпка} 	 type:AAN 
барометр - Прибор для измерения {Прибор} 	 type:NPN
баронет - титул в Англии {титул} 	 type:NPN
барракуда - рыба отряда кефалеобразных {рыба} 	 type:NNA 
барракуда - хищная рыба отряда {рыба} 	 type:ANN 
баррикада - Сооружение из бревен {Сооружение} 	 type:NPN
барс - хищное животное семейства {животное} 	 type:ANN 
бархатка - Ленточка из бархата {Ленточка} 	 type:NPN
бархатцы - растение семейства сложноцветных {растение} 	 type:NNA 
барщина - принудительный труд крестьян {труд} 	 type:ANN 
баскак - Представитель ханской власти {Представитель} 	 type:NAN
бастард - сын влиятельной особы {сын} 	 type:NAN
басы - Звуки низкого регистра {Звуки} 	 type:NAN
батарейка - устройство для увеличения {устройство} 	 type:NPN
батат - растение семейства вьюнковых {растение} 	 type:NNA 
батат - южное растение семейства {растение} 	 type:ANN 
батист - ткань полотняного переплетения {ткань} 	 type:NAN
батометр - Прибор для взятия {Прибор} 	 type:NPN
батон - хлеб продолговатой формы {хлеб} 	 type:NAN
батончик - Конфета продолговатой формы {Конфета} 	 type:NAN
баттерфляй - Стиль спортивного плавания {Стиль} 	 type:NAN
батут - снаряд для прыжков {снаряд} 	 type:NPN
бахта - набивная хлопчатобумажная ткань {ткань} 	 type:AAN 
бахчевод - Специалист в области {Специалист} 	 type:NPN
бахчеводство - Выращивание бахчевых культур {Выращивание} 	 type:NAN
башмак - Опора для установки {Опора} 	 type:NPN
башмаки - обувь для улицы {обувь} 	 type:NPN
башмачки - травянистое растение семейства {растение} 	 type:ANN 
бегунок - Деталь крутильного механизма {Деталь} 	 type:NAN
бегуны - Устройство для измельчения {Устройство} 	 type:NPN
бедуины - Арабы пустынь Передней Азии {Арабы} 	 type:NNAN 
безбрачие - Отсутствие брачных отношений {Отсутствие} 	 type:NAN
безвкусица - Отсутствие хорошего вкуса {Отсутствие} 	 type:NAN
безвластие - Отсутствие государственной власти {Отсутствие} 	 type:NAN
бездымка - порох (в речи {порох} 	 type:NPN
беззаконник - Нарушитель гражданских законов {Нарушитель} 	 type:NAN
безличие - Отсутствие отличительных черт {Отсутствие} 	 type:NAN
безлуние - Отсутствие видимой луны {Отсутствие} 	 type:NAN
безмен - русская мера веса {мера} 	 type:ANN 
безмыслие - Состояние отупения глубоких мыслей {Состояние} 	 type:NNAN 
безобразие - некрасивая внешность уродство {внешность} 	 type:ANN 
безразличие - отношение к кому {отношение} 	 type:NPN
безучастие - отношение к кому {отношение} 	 type:NPN
безъязычные - Подотряд бесхвостых земноводных {Подотряд} 	 type:NAN
бейсболка - Кепка особого фасона {Кепка} 	 type:NAN
бекасинник - дробь (в речи {дробь} 	 type:NPN
бекасы - птиц семейства ржанковых {птиц} 	 type:NNA 
бекон - свинина особой разделки {свинина} 	 type:NAN
бел - единица для сопоставления {единица} 	 type:NPN
белемниты - животные класса головоногих моллюсков {животные} 	 type:NNAN 
белемниты - беспозвоночные животные класса {животные} 	 type:ANN 
белена - растение семейства пасленовых {растение} 	 type:NNA 
белена - травянистое растение семейства {растение} 	 type:ANN 
белиберда - несуразное глупое вздор {вздор} 	 type:AAN 
белизна - белый цвет чего {цвет} 	 type:ANN 
белка - пушной зверек отряда {зверек} 	 type:ANN 
белки - оболочки глаз белого цвета {оболочки} 	 type:NNAN 
белки - непрозрачные оболочки глаз {оболочки} 	 type:ANN 
белладонна - растение семейства пасленовых {растение} 	 type:NNA 
белладонна - травянистое растение семейства {растение} 	 type:ANN 
беллетризация - Сочетание научно материала {Сочетание} 	 type:NAN
беллетрист - Автор беллетристических произведений {Автор} 	 type:NAN
беллетристика - произведения художественной литературы {произведения} 	 type:NAN
белоглазка - птица отряда воробьиных {птица} 	 type:NNA 
белоглазка - Рыба семейства карповых {Рыба} 	 type:NNA 
белое - цвет белого цвета {цвет} 	 type:NAN
белозор - растение семейства камнеломковых {растение} 	 type:NNA 
белозор - травянистое растение семейства {растение} 	 type:ANN 
белокопытник - растение семейства сложноцветных {растение} 	 type:NNA 
белорыбица - рыба семейства лососевых {рыба} 	 type:NNA 
белорыбица - промысловая рыба семейства {рыба} 	 type:ANN 
белоус - растение семейства злаковых {растение} 	 type:NNA 
белуха - млекопитающее семейства дельфиновых {млекопитающее} 	 type:NNA 
бель - рыба кроме рыб {рыба} 	 type:NPN
бельканто - Стиль вокального исполнения {Стиль} 	 type:NAN
бельё - Изделия из дерева {Изделия} 	 type:NPN
беляна - некрашеная плоскодонная барка {барка} 	 type:AAN 
белянка - белокожая белолицая женщина {женщина} 	 type:AAN 
белянки - Семейство дневных бабочек {Семейство} 	 type:NAN
бензоколонка - установка для отпуска {установка} 	 type:NPN
бензопровод - Трубопровод для транспортировки {Трубопровод} 	 type:NPN
бензорез - Аппарат для резки {Аппарат} 	 type:NPN
бергамот - вечнозеленое цитрусовое дерево {дерево} 	 type:AAN 
берест - Дерево семейства ильмовых {Дерево} 	 type:NNA 
берклий - радиоактивный химический элемент {элемент} 	 type:AAN 
берковец - русская мера веса {мера} 	 type:ANN 
беркут - птица семейства ястребиных {птица} 	 type:NNA 
